Description,Issue_Type
Large pothole on the main road,Pothole/Road Damage
There is a huge hole in the road,Pothole/Road Damage
Road is damaged and vehicles are having difficulty,Pothole/Road Damage
Deep pothole near the college,Pothole/Road Damage
Broken road surface near the bus stop,Pothole/Road Damage
Garbage is overflowing near my house,Garbage/Waste
Waste is dumped on the roadside,Garbage/Waste
Trash has not been collected for many days,Garbage/Waste
Garbage bin is completely full,Garbage/Waste
There is waste scattered on the street,Garbage/Waste
Street light is not working,Broken Streetlight
The street lamp is broken,Broken Streetlight
There is no light on the road at night,Broken Streetlight
The lamp near my house is damaged,Broken Streetlight
Streetlight has stopped working,Broken Streetlight
Water is leaking from the pipeline,Water Leakage
There is a water leakage on the street,Water Leakage
A pipe is broken and water is flowing,Water Leakage
Water is continuously coming from a damaged pipe,Water Leakage
There is a major water leak near my house,Water Leakage
Drain is blocked,Drainage Problem
The drainage system is overflowing,Drainage Problem
Dirty water is coming from the drain,Drainage Problem
Drainage is blocked near the road,Drainage Problem
There is a problem with the drainage,Drainage Problem
Traffic signal is not working,Traffic Signal Problem
The traffic light is broken,Traffic Signal Problem
Signal at the junction is not working,Traffic Signal Problem
Traffic lights have stopped working,Traffic Signal Problem
The road signal is damaged,Traffic Signal Problem
A tree has fallen on the road,Fallen Tree
Fallen tree is blocking the road,Fallen Tree
Large tree has fallen after the storm,Fallen Tree
Tree is blocking vehicles on the road,Fallen Tree
A tree has fallen near the street,Fallen Tree
