Issue_Type,Severity,Traffic_Level,Similar_Complaints,Safety_Risk,Priority_Score
Pothole,9,9,15,9,93
Pothole,7,8,10,8,78
Pothole,5,5,3,5,52
Garbage,6,7,10,5,67
Garbage,4,5,4,3,45
Garbage,8,8,12,7,78
Broken Streetlight,7,8,9,8,78
Broken Streetlight,4,5,3,4,46
Broken Streetlight,6,6,6,6,63
Water Leakage,9,8,12,9,88
Water Leakage,7,7,8,7,72
Water Leakage,5,5,3,5,52
Drainage Problem,8,7,10,8,79
Drainage Problem,6,6,5,6,62
Traffic Signal Problem,10,10,20,10,100
Traffic Signal Problem,8,9,12,9,88
Fallen Tree,9,8,10,10,91
Fallen Tree,7,7,6,8,75
Road Damage,8,9,12,9,87
Road Damage,5,6,4,5,56
